"Inbound No","STO No","ASN No","Inbound Location","PO No","GRN No","Created Date","GRN Date","Material Received Date","GRN Value","Inbound Type","Invoice No","Vendor Code","SKU Code","SKU Name","Lot Code","Transporter Name","Tracking No","Lot MRP","Lot Expiry","Bin Location","Unit Price","MRP","Recieved Qty","Expected Qty","Lottable 03","Lottable 04","Lottable 05","Lottable 06","Lottable 07","Vendor SKU Code","Brand","Damage Qty","Putaway Done","GRN Value Without Tax","GRN Value With Tax","IgpCode ","INBD_COST","Open Qty","Status","TaxGrpCode","LineTaxamount","External PO Code","Userid","Cust Ret No"
"SDL000001118","","","Scootsy SDL Delhivery","SDL1270","SDL000001110","28/03/2022 11:50 AM","28/03/2022 05:47 PM","28/03/2022 12:00 AM","414313.00","With PO","21-22/0404","1N60003445 - MAYA AGROVET","7021","MAYA URAD DAL CHILKA 500G","SDL000005762","","","81","19/09/2022 12:00 AM","STAGING","53.98100","80.00000","56.000","60.000","","","","","","7021","B1","0.000","No","3022.88","3022.88","SDL000001109","53.98000","4.000","Confirmed","5001","0.00","PGN1341","Inbound1",""
"SDL000001118","","","Scootsy SDL Delhivery","SDL1270","SDL000001110","28/03/2022 11:50 AM","28/03/2022 05:47 PM","28/03/2022 12:00 AM","414313.00","With PO","21-22/0404","1N60003445 - MAYA AGROVET","7085","MAYA WHO SPICE CORIANDER 100G","SDL000005719","","","36","22/09/2022 12:00 AM","STAGING","22.60800","25.00000","50.000","50.000","","","","","","7085","Default","0.000","No","1130.40","1186.92","SDL000001109","22.60800","0.000","Confirmed","5003","56.52","PGN1341","Joginder",""
"SDL000001118","","","Scootsy SDL Delhivery","SDL1270","SDL000001110","28/03/2022 11:50 AM","28/03/2022 05:47 PM","28/03/2022 12:00 AM","414313.00","With PO","21-22/0404","1N60003445 - MAYA AGROVET","7035","MAYA GROUNDNUT 500G","SDL000005782","","","107","22/09/2022 12:00 AM","STAGING","67.82000","89.00000","180.000","180.000","","","","","","7035","B1","0.000","No","12207.60","12817.98","SDL000001109","67.82000","0.000","Confirmed","5003","610.38","PGN1341","Joginder",""
"SDL000001118","","","Scootsy SDL Delhivery","SDL1270","SDL000001110","28/03/2022 11:50 AM","28/03/2022 05:47 PM","28/03/2022 12:00 AM","414313.00","With PO","21-22/0404","1N60003445 - MAYA AGROVET","7059","MAYA POHA THICK 1KG","SDL000005661","","","74","21/09/2022 12:00 AM","STAGING","49.57100","63.00000","200.000","200.000","","","","","","7059","Default","0.000","No","9914.00","9914.00","SDL000001109","49.57000","0.000","Confirmed","5001","0.00","PGN1341","Inbound1",""
"SDL000001118","","","Scootsy SDL Delhivery","SDL1270","SDL000001110","28/03/2022 11:50 AM","28/03/2022 05:47 PM","28/03/2022 12:00 AM","414313.00","With PO","21-22/0404","1N60003445 - MAYA AGROVET","7084","MAYA WHO SPICE CLOVE 25G","SDL000005751","","","43","22/09/2022 12:00 AM","STAGING","27.05300","28.00000","50.000","50.000","","","","","","7084","Default","0.000","No","1351.00","1418.55","SDL000001109","27.02000","0.000","Confirmed","5003","67.55","PGN1341","Inbound1",""
"SDL000001118","","","Scootsy SDL Delhivery","SDL1270","SDL000001110","28/03/2022 11:50 AM","28/03/2022 05:47 PM","28/03/2022 12:00 AM","414313.00","With PO","21-22/0404","1N60003445 - MAYA AGROVET","7052","MAYA RAJMA CHITRA WHITE 500G","SDL000005798","","","123","21/09/2022 12:00 AM","STAGING","82.27800","103.00000","60.000","60.000","","","","","","7052","Default","0.000","No","4936.68","4936.68","SDL000001109","82.27800","0.000","Confirmed","5001","0.00","PGN1341","Inbound2",""
"SDL000001118","","","Scootsy SDL Delhivery","SDL1270","SDL000001110","28/03/2022 11:50 AM","28/03/2022 05:47 PM","28/03/2022 12:00 AM","414313.00","With PO","21-22/0404","1N60003445 - MAYA AGROVET","7088","MAYA WHO SPICE JEERA 200G","SDL000005670","","","83","22/09/2022 12:00 AM","STAGING","52.84800","57.00000","50.000","50.000","","","","","","7088","Default","0.000","No","2642.50","2774.63","SDL000001109","52.85000","0.000","Confirmed","5003","132.13","PGN1341","Inbound1",""
"SDL000001118","","","Scootsy SDL Delhivery","SDL1270","SDL000001110","28/03/2022 11:50 AM","28/03/2022 05:47 PM","28/03/2022 12:00 AM","414313.00","With PO","21-22/0404","1N60003445 - MAYA AGROVET","7023","MAYA BADAM AMERICAN 100G","SDL000005699","","","111","19/09/2022 12:00 AM","STAGING","66.18200","96.00000","50.000","50.000","","","","","","7023","B1","0.000","No","3309.00","3706.08","SDL000001109","66.18000","0.000","Confirmed","5004","397.08","PGN1341","Inbound1",""
"SDL000001118","","","Scootsy SDL Delhivery","SDL1270","SDL000001110","28/03/2022 11:50 AM","28/03/2022 05:47 PM","28/03/2022 12:00 AM","414313.00","With PO","21-22/0404","1N60003445 - MAYA AGROVET","7029","MAYA KISMIS INDIAN 200G","SDL000005648","","","91","19/09/2022 12:00 AM","STAGING","57.69800","89.00000","50.000","50.000","","","","","","7029","B1","0.000","No","2885.00","3029.25","SDL000001109","57.70000","0.000","Confirmed","5003","144.25","PGN1341","Inbound1",""
"SDL000001118","","","Scootsy SDL Delhivery","SDL1270","SDL000001110","28/03/2022 11:50 AM","28/03/2022 05:47 PM","28/03/2022 12:00 AM","414313.00","With PO","21-22/0404","1N60003445 - MAYA AGROVET","10689","MAYA WHOLE SPICE SABJA 100 GM","SDL000005736","","","57","19/09/2022 12:00 AM","STAGING","36.46200","50.00000","48.000","48.000","","","","","","10689","Default","0.000","No","1750.08","1837.58","SDL000001109","36.46000","0.000","Confirmed","5003","87.50","PGN1341","Inbound1",""
